"국외 지진 검색 결과를 번호, 발생시각, 규모, 깊이, 위도, 경도, 위치, 지도보기로 제공하는 표",,,,,,,
number,origin_time,magnitude,depth,latitude,longitude,location,map
1925,2024-03-22 17:52,6.4,9,5.87 S,112.36 E,인도네시아 수라바야 북북서쪽 159km 해역,지도
1924,2024-03-21 19:49,5.3,20,24.08 N,121.53 E,대만 화롄현 북북서쪽 14km 지역,지도
1923,2024-03-21 9:08,5.3,50,36.10 N,139.90 E,일본 사이타마현 고시가야시 북북동쪽 25km 지역,지도
1922,2024-03-15 6:10,6,10,29.83 N,42.66 W,북대서양 중앙 해령,지도
1921,2024-03-14 0:13,6,50,5.87 S,150.63 E,파푸아뉴기니 킴베 동남동쪽 65km 지역,지도
1920,2024-03-08 18:11,6,125,5.82 N,126.88 E,필리핀 마티 남남동쪽 146km 해역,지도
1919,2024-03-04 1:16,6.7,10,59.34 S,158.86 E,호주 매쿼리섬 남쪽 520km 해역,지도
1918,2024-03-02 1:49,5,20,35.30 N,140.30 E,일본 지바현 지바시 남남동쪽 38km 지역,지도
1917,2024-02-26 15:24,5.1,50,33.60 N,132.50 E,일본 에히메현 마쓰야마시 남서쪽 36km 지역,지도
1916,2024-02-23 10:51,6.3,2,35.12 S,110.79 W,칠레 볼디비아 서쪽 3330km 해역,지도
1915,2024-02-15 15:29,5,10,37.60 N,137.60 E,일본 도야마현(혼슈) 도야마 북북동쪽 106km 해역,지도
1914,2024-02-15 12:48,5.1,10,37.90 N,137.80 E,일본 니이가타현(혼슈) 니이가타 서쪽 107km 해역,지도
1913,2024-02-14 20:40,6,10,11.00 N,138.61 E,미크로네시아 콜로니아 북북동쪽 172km 해역,지도
1912,2024-02-14 10:31,6,22,28.92 S,71.53 W,칠레 라세레나 북북서쪽 113km 해역,지도
1911,2024-02-12 20:20,6.3,260,22.20 N,143.00 E,일본 시즈오카현(혼슈) 시즈오카 남남동쪽 1490km 해역,지도
1910,2024-02-09 19:57,6.1,10,29.91 S,177.29 W,뉴질랜드 타우랑가 북동쪽 1054km 해역,지도
1909,2024-02-07 6:08,5.1,10,37.70 N,137.60 E,일본 도야마현(혼슈) 도야마 북북동쪽 117km 해역,지도
1908,2024-01-29 3:11,5.2,5,23.65 N,121.29 E,대만 화롄 남서쪽 43km 지역,지도
1907,2024-01-28 18:38,6.5,610,8.22 S,71.37 W,브라질 크루제이루두술 동남동쪽 159km 지역,지도
1906,2024-01-27 14:52,6.1,108,14.11 N,90.52 W,과테말라 에스쿠인틀라 남동쪽 36km 지역,지도
1905,2024-01-23 23:33,6.3,37,18.00 S,168.02 E,바누아투 포트빌라 남서쪽 43km 해역,지도
1904,2024-01-23 3:09,7,13,41.27 N,78.65 E,중국 신장위구르 아커쑤지구 서쪽 136km 지역,지도
1903,2024-01-21 7:09,6.3,10,39.92 S,46.12 E,남서인도양 해령,지도
